question_description,Classes,Tag1,Tag2
can hyperthyroidism cured permanently and size of thyro gland be normal.?,"Ear, Nose and Throat",hyperthyroidism,throat
how to improve health and happiness,General Problems,health,happiness
how to get relief from skin decies,Skin,skin,skin
I want to get a clearly screen without acne.,Skin,acne,skin
what is the benefit of exercise,Gym,exercise,workout
how to men head hair black and silky in fast way like one month?,Hair Treatment,hair,silky
How to improve body metabolism? ,"Stomach, Kidney and Liver",metabolism,digestion
How to reduce bad cholesterol? ,Gym,cholesterol,gym
how to loose weight..?what diet should I follow..?,Weight Loss,loose,weight
I'm in depression how to fight depression. ,Stress and Anxiety,depression,anxiety
"what are the effects of nausea ?
","Ear, Nose and Throat",nausea,nose
"How to make slim body From Weaknesses bode
",Weight Loss,slim,loss
Sir how to loose weight ? I need you help sir,Weight Loss,weight,loss
having cough  from a week tried many medicines. ,Cold,cough,cough
how can I make myself fresh and fit,General Problems,fresh,fresh
how to make muscles grow faster?,Gym,muscles,grow
How to reduce weight for girl in a month?,Weight Loss,reduce,weight
how I remove black ECG and do a young debit card r  and  and x XC spots from the face g a,Critical,E.C.G,operate
How to increase weight fast???,Weight Gain,increase,weight
What a weakness fell in body. ,Stress and Anxiety,weakness,weakness
what is thyroid. 3 .in blood report?,"Ear, Nose and Throat",thyroid,thyroid
what is healthy food to reduce fat,Diet and Food,food,diet
how to increase weight fast.......... ,Weight Gain,weight,increase
I have lost my hair very much what I can do? ,Hair Treatment,hair,loss
is keto diet safe method to loose fat....?,Weight Loss,loose,fat
what to take in meal for good health,Diet and Food,meal,meal
Will protein powder be side affect?,Gym,protein,muscles
"Why do we yawn?  Any medical
 reason?",General Problems,yawn,health
how to remove chicken pox scars,Skin,chickenpox,skin
what is the mental condition of the people when they think of suicide,Stress and Anxiety,stress,anxiety
How to build muscles with in a week? ,Gym,muscles,gym
how to remove black spot from face??,Skin,spot,face
have cough from week tried many medicine but not cured yet.,Cold,cough,cold
"I am aged about 43 
what type of diet nutrition shall fallow",Diet and Food,diet,nutrition
please give me health strong tips?,General Problems,health,tips
how to grow a muscles and how to get a protein,Gym,muscles,protein
can we keep beard oil or some home made oil which contains castor oil for 16 to 17  yes???,Hair Treatment,beard,hairs
how make more stamina in running,Gym,stamina,muscles
how to get rid of vitiligo from lips,Skin,vitiligo,skin
what is solution for hair loss,Hair Treatment,hair,hair
can you help me out to reduce hair loss?,Hair Treatment,hair,hair
I  want lose weight naturally. What is the simplest way for this????,Weight Loss,lose,weight
how to concentrate on lessons more,Stress and Anxiety,concentration,stress
how can I solve my hair fall ?,Hair Treatment,hair,fall
How can I  control my hair loss? ,Hair Treatment,hair,hair
"give some solution for hair loss 
",Hair Treatment,hair,hair
say doctor my weight is 92kg how to lose weight give me a tips ,Weight Loss,lose,weight
can you say doctor how to lose weight and the other types of calories say something ,Weight Loss,lose,weight
how to remove sun tanning from forehead. ?????,Skin,tan,skin
what exercise are to be done to build arms,Gym,exercise,gym
How can I stop my coughing blood,Blood Related,cough,blood
How to increase in concentration power studying in class room ,Stress and Anxiety,concentration,anxiety
Does apple causes constipation?,"Stomach, Kidney and Liver",constipation,stomach
how to get cured from diabetes,Diabetes,diabetes,antidiabetics
I am facing salty taste in my dish,Diet and Food,taste,taste
inching and coughing ..I've try many medicine but still not take action please help me,Cold,cough,cold
in classroom I am not be able to make concentration  on teacher side can u suggest me some yoga which help in increasing  concentration  power,Stress and Anxiety,concentration,stress
what is the medicine for common cold? ,Cold,cold,fever
"How to sleep quickly and deeply?
",General Problems,sleep,health
"how to reduce my weight? My weight  is 88kg 
",Weight Loss,reduce,weight
"I am suffering from fever
so what can I do",Cold,fever,cold
my teeth are yellowish is there any suggestions,Dental,teeth,tooth
Remove black spots from teeth ,Dental,white,teeth
how to grow the children's immunity? ,General Problems,immunity,immunity
my frnd has unequal breast. wt can she do,Sexual Problem,breast,girl
What can I do for removing carbohydrate?,"Stomach, Kidney and Liver",carbohydrate,kidney
what We do of our Teeth is become Yellowish,Dental,teeth,yellowish
how to remove dark spots under eyes ,Eyes,dark spots,eyes
Which is the best tablet for blood pressure?,Blood Related,blood,pressure
health Ko kaise increase kare?,General Problems,health,increase
Is Yoga is better than workout in gym? ,Gym,yoga,workout
"What we do of our teeth is become yellowish
",Dental,teeth,yellowish
what is the process for removing black spot on face,Skin,spot,face
is it safe to avoid having dinner for weight loss ?,Weight Loss,weight,loss
which is best for health food?,Diet and Food,food,diet
"I am 6feet tall and about 90kg, so can I conclude that I am fit or I should loose weight...? ",Weight loss,weight,loose
what is the best food for muscle building?,Gym,muscles,yoga
"permanent cure for urinary tract infection?
",Critical,surgery,urinary
which is best for health food?,Diet and Food,food,diet
How can we forget our worst past that disturbing now in present ,Others,forget,forget
how to decrease a pimple from the face?,Skin,pimple,face
hepatitis can be cured with acute virus,Cold,fever,cold
is there any medicine or surgery for removal of body hairs permanently ?,Hair Treatment,hairs,remove
Can sciatica be cured permanently ? how?,Critical,operate,surgery
My weight is 89 kg and my age is 24. As I am obese suggest me how to reduce weight. ,Weight Loss,reduce,weight
What is the treatment of acne?,Skin,acne,glow
Is there any cure for prematurely grey or white hair in the teens or twenties?,Hair Treatment,grey,hairs
health ko kaise increase kare ?,General Problems,health,maintain
suryanamskar is a best yoga in a yoga categories,Gym,yoga,gym
How to remove red colour spot from face,Skin,spot,face
What are the symptom of allergy,Skin,allergy,skin
What are the symptom of allergy ,Skin,skin,allergy
How to reduce red spot of face ?,Skin,spot,face
how to decrease my weight fastly,Weight Loss,decrease,weight
what are the symptoms of Allergy?,Skin,allergy,skin
how can we do proper concentration.?,Stress and Anxiety,concentration,anxiety
how to increase weight fastly? ,Weight Gain,increase,weight
How to increase body weight rapidly ?,Weight Gain,increase,weight
How to grow full beard on face...?,Hair Treatment,beard,hairs
How to remove  a dark circles? ,Skin,skin,remove
how to remove chicks acne and pimples,Skin,acne,pimples
what diet I should take gain my weight,Weight Gain,gain,weight
How to reduce fat by medicine ,Weight Loss,reduce,fat
"how to cure skin allergy with natural remedies
",Skin,skin,allergy
"Is regular intercourse is good for health or it should be avoided ? 
Kindly suggest me in details
",Sexual Problem,sex,men
how many top hospital's in Hyderabad ?,Others,,
pls tell me how to my skin colour fear... ,Eyes,eye,eyes
what diet show I take to gain weight,Weight Gain,gain,weight
is it ok to uses perfectil regularly?,General Problems,health,maintain
How to weight loss in quick way,Weight Loss,weight,loss
what diet show I take to gain my weight,Weight Gain,weight,gainer
How shall I gain more weight and get into better shape. I am 14,Weight Gain,gain,weight
"I am underweight, I eat lot still I am not able to puton weight kindly suggest ",Weight Gain,weight,gainer
"I want to be rest ,but not possible in busy life , how is this possible
",Stress and Anxiety,stress,anxiety
How to gain weight fast within 15days?,Weight Gain,gain,weight
"How decrease my weight. ..my weight...is 
89",Weight Loss,decrease,weight
how do I gain weight...my weight is 48 and I want to increase it.,Weight Gain,gain,weight
how to decrease weight by doing good exercise?,Weight Loss,decrease,weight
How do I gain my weight as I'm 22 years old and I'm still 55 ..,Weight Gain,gain,weight
My age is 25 years. An extra teeth behind my jaw causes food to get stuck. Should I remove it? ,Dental,teeth,jaw
How to loose weight in one month? ,Weight Loss,loose,weight
what are the good food items for hair fall,Hair Treatment,hair,fall
How can I remove my pimples quickly,Skin,pimples,acne
How to gain weight of human body,Weight Gain,gain,weight
how to remove black marks under eyes,Eyes,remove,eyes
Solution for pimples remaining black spot....,Skin,pimples,spot
"How to increase my weight..
with in one month..??
",Weight Gain,increase,weight
what is the solution of hair fall?,Hair Treatment,hair,fall
"I'm 20 now 
how can I grow my height??",Height,height,height
how to maintain balanced diet ?.,Diet and Food,balanced,diet
"I want make bodybuilders
How to do",Gym,bodybuilders,gym
how to finish fungal infection,Skin,fungal,skin
if we eat oil food what happens ,Diet and Food,eat,food
how to solve hair dandruff problem?,Hair Treatment,hair,dandruff
what I do to  improve my fitness ,Gym,fitness,exercise
My hair problem pls solution.? ,Hair Treatment,hair,problem
which food I should eat for my health fitness,Diet and Food,food,eat
I always get headache. Why this time,Headache,headache,migraine
why my hair is loss? pls give ,Hair Treatment,hair,loss
can hepatitis b infection can be cured with acute virus,Headache,hepatitis,headache
what should I eat for gain my weight? ,Weight Gain,gain,weight
which food I should eat for my Health,Diet and Food,food,eat
"I want to increase my weight, what will I do",Weight Gain,increase,weight
I want to loose my weight how do I ,Weight Loss,loose,weight
Hi. I am 20 years old and for my age I'm underweight. so please suggest me something to gain weight and be fit,Weight Gain,weight,gain
How to gain weight... I m 18 years male and my height is 180cms but my weight is 55kg,Weight Gain,gain,weight
I am having extreme hairfall what to do?,Hair Treatment,hairfall,remove
"a typhoid patent having 320, what should they eat and what not to eat? Also having less haemoglobin in body what to do ?","Ear, Nose and Throat",typhoid,throat
"how to prevent skin infection
",Skin,skin,skin
any vegetables or any edible products to have get cure from sudden vision loss or acute vision loss,Eyes,vision,eyes
how can I keep my fitness control? ,Gym,fitness,control
What is meant by icu in hospital ,General Problems,icu,maintain
I want to loose my own clothes ,Weight Loss,loose,weight
 my bilateral kidney is small in size give solution ,"Stomach, Kidney and Liver",kidney,small
hii I am so tall and I have to make body for that what I do?,Height,tall,height
"prescribe dietary modifications I should made to change my brittle hair into strong
",Hair Treatment,hair,strong
how can I reveal my health fitness ??,Gym,fitness,workout
how to control blood pressure maintained,Blood Related,blood,pressure
I have severe throat pain what is the remedy,"Ear, Nose and Throat",throat,remedy
I want to lose weight what should I do?,Weight Loss,lose,weight
what to eat in jaundice disease,Cold,jaundice,cold
"I have gastrological problem, so what should I do?","Stomach, Kidney and Liver",stomach,digestion
which medicine is preferable for fever,Cold,fever,cold
I have severe throat pain what is the remedy,"Ear, Nose and Throat",throat,remedy
what can I do when I have depressed,Stress and Anxiety,depressed,stress
How to loose belly and chest fat?,Weight Loss,belly,fat
"What are the diet for good digestion and body building
",Gym,body,building
how to increase the body weight,Weight Gain,increase,weight
"I had a short temper problem, how can I solve that",Stress and Anxiety,temper,anxiety
what is the best diet for diabetic patients?,Diabetes,diabetic,sugar
How can I quit smoking..? The best way,Lungs and Smoking,smoking,quit
I want my weight gain please suggest me the diet plan? ,Weight Gain,weight,gain
sir I can't eat anything even IAM hungry can you give any suggestions??,"Stomach, Kidney and Liver",hungry,digestion
what could be done to get some weight ?,Weight Gain,weight,increase
how to become free from gas problem,"Stomach, Kidney and Liver",gas,stomach
how can I make my lips normally,Skin,skin,soap
"what are the prevention measures to avoid hair fall?
",Hair Treatment,hair,fall
how acne can be cured???why these are appearing age n age on face?,Skin,acne,face
can I get a diet chart for reducing my weight,Weight Loss,reduce,weight
how to build stamina fastly and run fast,Gym,stamina,run
pain in my left leg please sir specify medicine,Body Pain,pain,body
for gaining lean muscle which kind of diet ?,Gym,muscles,run
"I was sex with my gf on Dec, 13th 2017/ and she's period 18/Dec 2017 and after one month Jan, 29 /2018 no periods now this date what is the problem",Sexual Problem,sex,period
how I loss my weight from 45kg to 40 kg !,Weight Loss,loss,weight
What are the diet for body building,Gym,body,building
how to increase weight in less time,Weight Gain,increase,weight
"how to get relief allergy by peanut 

",Skin,allergy,relief
what food eating for delivery time,Diet and Food,food,eat
what type of food should prefer in case of having fit body,Diet and Food,food,vitamin
hii I have regular problem of food poisoning. how to be okay now??,Diet and Food,food,poison
what are the diet for body builder,Gym,builder,body
what are the healthy food for a hart patient,Diet and Food,food,diet
why our heart beats run we fastly,Gym,run,exercise
motapa kaise kam kre specially stomach,"Stomach, Kidney and Liver",stomach,liver
why our heartbeat fast when we run?,Gym,run,workout
why our heartbeats fast when we run ?,Gym,workout,run
what can I do grow my penis size,Sexual Problem,penis,penis
how to loose weight fast and turn into a healthy person,Weight Loss,loose,weight
how to fit our body and what food is good for heath,Diet and Food,food,eat
what should be my diet for gaining mass on my body,Diet and Food,diet,food
I am 21 years old. Is there any scope of increasing my height?,Height,increase,height
how I decrease kg my body one month?,Weight Loss,decrease,month
how my increase body kg in one month?,Weight Gain,increase,month
"how check up & scan whole body?
then, what is nearby location at cost or free?",General Problems,check up,health
is hairfall can be controlled?,Hair Treatment,hairfall,control
how I'm increase weight in one month,Weight Gain,weight,month
My question is my fitness is week why,Gym,fitness,weak
"how to lose wait faster and build muscle
",Weight Loss,weight,loss
how increase growth in one year,Height,growth,height
I want to increase my weight within one month...how can we do it,Weight Gain,weight,month
How increase my weight in one month ,Weight Gain,increase,weight
 what is the best diet for weak eyesight?,Eyes,eyesight,eyes
what is the best treatment for joint pain inlets?,Body Pain,joint,pain
how to gain hair and proper care,Hair Treatment,hair,care
"how to increase height, what is the proper diet and exercise to increase height?",Height,height,height
"how to gain a, weight? give me a best suggestion of diet?",Weight Gain,weight,gain
What are benefits of consuming litchi juice? ,Diet and Food,juice,food
what is malaria and how to cure iy?,Cold,malaria,cold
can you tell me about diet for losing weight,Weight Loss,losing,weight
how to gain weight? so can you suggest me best diet?,Weight Gain,gain,weight
can you tell me the best diet?,Diet and Food,diet,juice
 what is a safe way to gain weight?,Weight Gain,gain,weight
How to  weight loss hip and stomach?,Weight Loss,weight,loss
what is the symptoms of malaria,Cold,malaria,cold
how to gain height through food?,Height,height,gain
what is the best vasitabl for vitamin C?,Diet and Food,vitamin,food
how to treat genu varum ( baw shaped lag) without surgery in 20 yrs boy?,Critical,surgery,Critical
tell me about sugar controlling methods ,Diabetes,sugar,antidiabetics
tell me control low blood pressure ,Blood Related,blood,pressure
I am 28 year old I have asthma what I can do this ? ,"Ear, Nose and Throat",asthma,nose
how is I loses my weight 2 kg? ,Weight Loss,weight,loses
tell me to control high blood pressure??,Blood Related,blood,pressure
Can you tell what is the best balance diet? ,Diet and Food,balanced,diet
Can you tell what is the best balance diet?,Diet and Food,balanced,diet
how increase weight in 2 month,Weight Gain,increase,weight
Which diet is good for making six pack abs ,Gym,abs,exercise
which food is better to increase weight,Weight Gain,increase,weight
how to increase weight in 2 months,Weight Gain,weight,month
How I lose my weight 2 to 3kg ?,Weight Loss,lose,weight
how can get a bright teeth ????,Dental,teeth,tooth
how decrease weight in 1 month,Weight Loss,decrease,weight
1. what is the causes of illness?,General Problems,illness,health
"how to increase weight in a month..
.",Weight Gain,increase,month
Reduce weight in three months!! ,Weight Loss,reduce,weight
"how increase weight in 2 month
",Weight Gain,increase,weight
Hello sir I am 22 years old and what should be my weight in that age group.. I am 75 kg is it a good for me or not,Weight Loss,weight,loss
how to loose 10kg weight in a month,Weight Loss,loose,weight
how I can gain weight in few days??,Weight Gain,gain,weight
I am suffering for fungal infection for 3 months in penis areas some time good but Agen I have,Skin,fungal,skin
Does the depression medicines increase weight significantly? If yes how it can be reduced? My mother gained 7kg weight in just a month of taking anti-depression meds.,Weight Gain,increase,weight
How to control Vomiting sensation?,General Problems,control,vomiting
